source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,dedupe_key
PubMed,32111417,Adoption of Medicaid Expansion Is Associated with Lower Maternal Mortality.,"This study explores the effect of Medicaid expansion under the Affordable Care Act on the maternal mortality ratio in the United States.; A difference-in-differences research design was used to analyze the effect of Medicaid expansion on maternal mortality. Maternal mortality was defined with and without late maternal deaths, to substantiate the contribution of increased preconception and postpartum insurance coverage. To examine whether there was a racial difference in the effects of Medicaid expansion, models were stratified by the woman's race/ethnicity for non-Hispanic Black women, non-Hispanic White women, and Hispanic women.; Medicaid expansion was significantly associated with lower maternal mortality by 7.01 maternal deaths per 100,000 live births (p = .002) relative to nonexpansion states. When maternal mortality definitions excluded late maternal deaths, Medicaid expansion was significantly associated with a decrease in maternal mortality per 100,000 live births by 6.65 (p = .004) relative to nonexpansion states. Medicaid expansion effects were concentrated among non-Hispanic Black mothers, suggesting that expansion could be contributing to decreasing racial disparities in maternal mortality.; Although maternal mortality overall continues to increase in the United States, the maternal mortality ratio among Medicaid expansion states has increased much less compared with nonexpansion states. These results suggest that Medicaid expansion could be contributing to a relative decrease in the maternal mortality ratio in the United States. The decrease in the maternal mortality ratio is greater when maternal mortality estimates include late maternal deaths, suggesting that sustained insurance coverage after childbirth as well as improved preconception coverage could be contributing to decreasing maternal mortality.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2020,Journal Article,Erica L Eliason,10.1016/j.whi.2020.01.005,Black or African American; Female; Hispanic or Latino; Humans; Insurance Coverage; Maternal Mortality; Medicaid; Patient Protection and Affordable Care Act; United States; White People,https://pubmed.ncbi.nlm.nih.gov/32111417/,,,,,doi:10 1016 j whi 2020 01 005
PubMed,37438483,Medicaid and newborn care: challenges and opportunities.,"Since its creation in 1965, Medicaid has operated as a federal-state partnership that provides a robust set of medical benefits to low-income families, including pregnant people and infants. In many ways, Medicaid has met its initial promise. However, medical benefits, provider payments, and key administrative procedures regarding eligibility, enrollment, and access to care vary substantially among state Medicaid programs. These variations have created profound inequities across states in the care of parents and children, particularly during pregnancy and in the postpartum and neonatal periods. Here we review select aspects of the Medicaid program pertinent to newborns and infants that contribute to eligibility and enrollment gaps, variations in benefits coverage and payment rates, and racial disparities in both access to healthcare and infant health outcomes. We outline a number of structural reforms of the Medicaid program that can improve newborn and infant access to care and outcomes and redress existing inequities.",Journal of perinatology : official journal of the California Perinatal Association,2023,Journal Article; Review,Emily R Miller; Mark L Hudak,10.1038/s41372-023-01714-4,"Child; Infant; Female; Pregnancy; United States; Infant, Newborn; Humans; Medicaid; Poverty; Health Services Accessibility; Eligibility Determination; Postpartum Period",https://pubmed.ncbi.nlm.nih.gov/37438483/,,,,,doi:10 1038 s41372 023 01714 4
PubMed,41758525,Medicaid Continuous Coverage Requirement and Postpartum Hospitalization.,"In 2020, all US states adopted the Families First Coronavirus Response Act Medicaid continuous coverage requirement (CCR), which prevented disenrollment from Medicaid. This policy effectively extended pregnancy-related Medicaid eligibility beyond the previous end date of 60 days post partum.; To determine whether the CCR was associated with a change in postpartum hospitalization rates for mothers covered by Medicaid during their delivery.; This cohort study was conducted from December 2023 to March 2025 at all nonfederal acute care hospitals in 20 states using data from the Healthcare Cost and Utilization Project's State Inpatient Databases from 2018 through 2021. Participants included mothers aged 18 to 55 years who had Medicaid-paid deliveries (based on the primary expected payer) from January 2018 to June 2021; they were followed up for 180 days post partum.; State-level postpartum uninsured rate among mothers with Medicaid-paid deliveries that occurred from 2018 to 2019 (before the CCR was implemented in 2020). Residency in states with an uninsured rate above the median was considered to be high exposure (ie, a greater share of the state population had the potential to benefit from the CCR) and residency in states with a preperiod uninsured rate below the median was considered low exposure.; Probability of a mother being hospitalized 1 to 60 days post partum (covered under previous Medicaid eligibility rules) and 61 to 180 days post partum (newly covered under the CCR).; A total of 2 024 214 mothers (mean age, 27.5 [95% CI, 27.5-27.5] years) with Medicaid-paid deliveries were identified. The sample included 550 881 deliveries by Hispanic mothers (27.2%), 490 586 deliveries by non-Hispanic Black mothers (24.2%), 744 945 deliveries by non-Hispanic White mothers (36.8%), 200 639 deliveries by mothers of other races and ethnicities (9.9%), and 37 163 deliveries by mothers with missing race and ethnicity data (1.8%). Among the full sample, 931 452 mothers (mean age, 27.1 [95% CI, 27.71-27.2] years) resided in high-exposure states and 1 092 762 mothers (mean age, 27.8 [95% CI, 27.8-27.8] years) resided in low-exposure states. In adjusted difference-in-differences models, the rate of hospitalization per 1000 Medicaid-paid deliveries at 61 to 180 days post partum decreased (adjusted β coefficient, -1.4; 95% CI, -2.5 to -0.3) in high-exposure states compared with low-exposure states, a 10.9% decrease relative to the preperiod mean (12.9; 95% CI, 12.6 to 13.2) in high-exposure states. The analogous estimate for the hospitalization rates 1 to 60 days post partum was not statistically significant (-0.7 [95% CI, -2.0 to 0.5] per 1000 Medicaid-paid deliveries).; Findings of this study suggest that residency in high-exposure states was associated with a reduction in hospitalizations for mothers 61 to 180 days post partum (the period newly covered by extended Medicaid coverage). Extended Medicaid coverage may help to improve postpartum health and reduce adverse events among mothers with low income.",JAMA health forum,2026,Journal Article,Giacomo Meille; Maria W Steenland; Erica L Eliason,10.1001/jamahealthforum.2025.6872,Humans; Female; Medicaid; United States; Adult; Hospitalization; Postpartum Period; Young Adult; Adolescent; Pregnancy; Middle Aged; Insurance Coverage; Cohort Studies; Medically Uninsured,https://pubmed.ncbi.nlm.nih.gov/41758525/,,,,,doi:10 1001 jamahealthforum 2025 6872
PubMed,33439701,Postpartum Medicaid Extension to Address Racial Inequity in Maternal Mortality.,,American journal of public health,2021,"Editorial; Research Support, N.I.H., Extramural",Natasha R Kumar; Ann Borders; Melissa A Simon,10.2105/AJPH.2020.306060,Female; Healthcare Disparities; Humans; Maternal Mortality; Medicaid; Postnatal Care; Pregnancy; Racism; United States,https://pubmed.ncbi.nlm.nih.gov/33439701/,,,,,doi:10 2105 ajph 2020 306060
PubMed,36637879,Postpartum Medicaid Eligibility Expansions and Postpartum Health Measures.,"Maternal mortality and morbidity in the United States are high compared with those in similar countries, and racial/ethnic disparities exist, with many of these events occurring in the later postpartum period. Proposed federal and recently enacted state policy interventions extend pregnancy Medicaid from covering 60 days to a full year postpartum. This study estimates the association between maintaining Medicaid eligibility in the later postpartum period (relative to only having pregnancy Medicaid eligibility) with postpartum checkup attendance and depressive symptoms using regression analysis, overall and stratified by race/ethnicity. People with postpartum Medicaid eligibility were 1.0%-1.4% more likely to attend a postpartum checkup relative to those with only pregnancy Medicaid eligibility overall, primarily driven by a 3.8%-4.0% higher likelihood among Hispanic postpartum people. Conversely, postpartum Medicaid is associated with a 2.2%-2.3% lower likelihood of postpartum checkup attendance for Black postpartum people. Postpartum eligibility is also associated with a 9.7%-11.6% lower likelihood of self-reported depressive symptoms compared with only pregnancy Medicaid eligibility for White postpartum people only. Postpartum Medicaid eligibility is associated with some improvements in maternal health care utilization and mental health, but differences by race and ethnicity imply that inequitable systems and structures that cannot be overcome by insurance alone may also play an important role in postpartum health.",Population health management,2023,"Journal Article; Research Support, N.I.H., Extramural",Katlyn Hettinger; Claire Margerison,10.1089/pop.2022.0183,Pregnancy; Female; United States; Humans; Medicaid; Ethnicity; White People; Hispanic or Latino; Postpartum Period,https://pubmed.ncbi.nlm.nih.gov/36637879/,,,,,doi:10 1089 pop 2022 0183
PubMed,37266938,Health Insurance Coverage and Postpartum Outcomes in the US: A Systematic Review.,"Approximately half of postpartum individuals in the US do not receive any routine postpartum health care. Currently, federal Medicaid coverage for pregnant individuals lapses after the last day of the month in which the 60th postpartum day occurs, which limits longer-term postpartum care.; To assess whether health insurance coverage extension or improvements in access to health care are associated with postpartum health care utilization and maternal outcomes within 1 year post partum.; Medline, Embase, CENTRAL, CINAHL, and ClinicalTrials.gov were searched for US-based studies from inception to November 16, 2022. The reference lists of relevant systematic reviews were scanned for potentially eligible studies. Risk of bias was assessed using questions from the Cochrane Risk of Bias tool and the Risk of Bias in Nonrandomized Studies of Interventions tool. Strength of evidence (SoE) was assessed using the Agency for Healthcare Research and Quality Methods Guide.; A total of 25 973 citations were screened and 28 mostly moderate-risk-of-bias nonrandomized studies were included (3 423 781 participants) that addressed insurance type (4 studies), policy changes that made insurance more comprehensive (13 studies), policy changes that made insurance less comprehensive (2 studies), and Medicaid expansion (9 studies). Findings with moderate SoE suggested that more comprehensive association was likely associated with greater attendance at postpartum visits. Findings with low SoE indicated a possible association between more comprehensive insurance and fewer preventable readmissions and emergency department visits.; The findings of this systematic review suggest that evidence evaluating insurance coverage and postpartum visit attendance and unplanned care utilization is, at best, of moderate SoE. Future research should evaluate clinical outcomes associated with more comprehensive insurance coverage.",JAMA network open,2023,"Systematic Review; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",Ian J Saldanha; Gaelen P Adam; Ghid Kanaan; Michael L Zahradnik; Dale W Steele; Kenneth K Chen; Alex F Peahl; Valery A Danilack-Fekete; Alison M Stuebe; Ethan M Balk,10.1001/jamanetworkopen.2023.16536,Pregnancy; Female; United States; Humans; Postpartum Period; Medicaid; Patient Acceptance of Health Care; Insurance Coverage,https://pubmed.ncbi.nlm.nih.gov/37266938/,,,,,doi:10 1001 jamanetworkopen 2023 16536
PubMed,35757523,Best Practices for Managing Postpartum Hypertension.,"Patients remain at risk for persistent and de novo postpartum hypertension related to pregnancy. This review aims to summarize the current definitions, clinical practices, and novel systems innovations and therapies for postpartum hypertension.; Recent changes to the definitions of hypertension outside of pregnancy have not yet impacted definitions or management of hypertensive disorders of pregnancy (HDP), though research examining the implications of these new definitions on risks of developing HDP and the resultant sequelae is ongoing. The administration of diuretics has been shown to reduce postpartum hypertension among women with HDP. Widespread implementation of telemedicine models and remote assessment of ambulatory blood pressures has increased data available on postpartum blood pressure trajectories, which may impact clinical management. Additionally, policy changes such as postpartum Medicaid extension and an increasing emphasis on building bridges to primary care in the postpartum period may improve long-term outcomes for women with postpartum hypertension. Prediction models utilizing machine learning are an area of ongoing research to assist with risk assessment in the postpartum period.; The clinical management of postpartum hypertension remains focused on blood pressure control and primary care transition for cardiovascular disease risk reduction. In recent years, systemic innovations have improved access through implementation of new care delivery models. However, the implications of changing definitions of hypertension outside of pregnancy, increased data assessing blood pressure trajectories in the postpartum period, and the creation of new risk prediction models utilizing machine learning remain areas of ongoing research.",Current obstetrics and gynecology reports,2022,Journal Article; Review,Natasha Raj Kumar; Adi Hirshberg; Sindhu K Srinivas,10.1007/s13669-022-00343-6,,https://pubmed.ncbi.nlm.nih.gov/35757523/,,,,,doi:10 1007 s13669 022 00343 6
PubMed,40354040,Landscape of Emergency Medicaid and Health Care Coverage for Undocumented Immigrants in the US.,"Undocumented immigrants represent a disproportionate share of uninsured individuals in the US, owing to federal restrictions that limit access to affordable health care coverage. Emergency Medicaid (EM) and other state-sponsored programs offer mechanisms for receiving necessary medical care, but their scope and provisions are poorly understood by patients, clinicians, and policymakers alike.; To examine the national policy landscape of EM and other state programs designed to provide health care coverage for undocumented immigrants.; Between January 2024 and June 2024, individual state policies on EM and programs providing health care coverage for undocumented immigrants were reviewed, including (1) Medicaid-equivalent programs, (2) State Plan Amendments (SPAs), and (3) Marketplace-based programs via Section 1332 waivers. Policy documentation for all 50 states and Washington, DC, was sourced from publicly available materials-including state Medicaid agency websites, policy manuals, and clinician handbooks. Findings were verified via multiple independent manual reviews.; Thirty-seven states (74%) and Washington, DC, offer EM coverage for the duration of the emergency only. Eighteen states provide (36%) 3 to 6 months of retroactive coverage, whereas 13 states (26%) offer 2 to 12 months of prospective coverage. Twenty states (40%) and Washington, DC, provide coverage of routine dialysis for patients with end-stage kidney disease, whereas only 5 states (10%) offer coverage for cancer treatment. Twelve states (24%) and Washington, DC, offer state-sponsored Medicaid-equivalent plans, with 4 states (8%) and Washington, DC, offering coverage to all age groups. Twenty-two states (44%) and Washington, DC, provide prenatal coverage via the From-Conception-to-End-of-Pregnancy SPA option; and 6 states (12%) offer postpartum coverage. In 2 states (4%), residents can purchase commercial Marketplace plans, regardless of immigration status.; This nationwide analysis found significant variation in the health care coverage available to undocumented immigrants. Although some states have optimized flexibility in EM policy language to expand coverage for ongoing care of certain chronic conditions, substantial coverage gaps persist. Medicaid-equivalent plans and Marketplace-based strategies offer avenues for comprehensive coverage; however, these mechanisms are subject to state budgetary constraints and political challenges. Despite anticipated rollbacks of federal Medicaid funding, states must continue to identify sustainable and equitable coverage solutions for this essential part of the US population.",JAMA internal medicine,2025,Journal Article,Patricia Mae G Santos; Aman Narayan; Arthur S Hong; Sonia Persaud; Sierra Silverwood; Kawther Al Ksir; Lilia Cervantes; Benjamin D Sommers; Fumiko Chino; K Robin Yabroff,10.1001/jamainternmed.2025.0604,Humans; Health Services Accessibility; Insurance Coverage; Medicaid; Undocumented Immigrants; United States,https://pubmed.ncbi.nlm.nih.gov/40354040/,,,,,doi:10 1001 jamainternmed 2025 0604
PubMed,34916138,Insurance Churn and Postpartum Health among Texas Women with Births Covered by Medicaid/CHIP.,"Insurance churn (changes in coverage) after childbirth is common in the United States, particularly in states that have not expanded Medicaid coverage. Although insurance churn may have lasting consequences for health care access, most research has focused on the initial weeks after a birth.; We analyzed data from a cohort study of postpartum Texans with pregnancies covered by public insurance (n = 1,489). Women were recruited shortly after childbirth from eight hospitals in six cities, completing a baseline survey in the hospital and follow-up surveys at 3, 6, and 12 months. We assessed insurance trajectories, health care use, and health indicators over the 12 months after childbirth. We also conducted a content analysis of women's descriptions of postpartum health concerns.; A majority of participants (64%) became uninsured within 3 months of the birth and remained uninsured for the duration of the study; 88% were uninsured at some point in the year after the birth. At 3 months postpartum, 17% rated their health as fair or poor, and 13% reported a negative change in their health after the 3-month survey. Women's open-ended responses described financial hardships and other difficulties accessing care for postpartum health issues, which included acute and ongoing conditions, undiagnosed concerns, pregnancy and reproductive health, mental health, and weight/lifestyle concerns.; Insurance churn was common among postpartum women with births covered by Medicaid/CHIP and prevented many women from receiving health care. To improve postpartum health and reduce maternal mortality and morbidity, states should work to stabilize insurance coverage for women with low incomes.",Women's health issues : official publication of the Jacobs Institute of Women's Health,2022,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Elizabeth J Ela; Elsa Vizcarra; Lauren Thaxton; Kari White,10.1016/j.whi.2021.11.002,"Cohort Studies; Female; Health Services Accessibility; Humans; Insurance Coverage; Insurance, Health; Medicaid; Medically Uninsured; Postpartum Period; Pregnancy; Texas; United States",https://pubmed.ncbi.nlm.nih.gov/34916138/,,,,,doi:10 1016 j whi 2021 11 002
PubMed,38417096,Expand and extend postpartum Medicaid to support maternal and child health.,"Most early maternal deaths are preventable, with many occurring within the first year postpartum (we use the terms ""maternal"" and ""mother"" broadly to include all individuals who experience pregnancy or postpartum and frame our recognition of need and policy recommendations in gender-neutral terms. To acknowledge limitations inherent in existing policy and the composition of samples in prior research, we use the term ""women"" when applicable). Black, Hispanic, and Native American individuals are at the most significant risk of pregnancy-related death. They are more commonly covered by Medicaid, highlighting likely contributions of structural racism and consequent social inequities. State-level length and eligibility requirements for postpartum Medicaid vary considerably. Federal policy requires 60 days of Medicaid continuation postpartum, risking healthcare coverage loss during a critical period of heightened morbidity and mortality risk. This policy position paper aims to outline urgent risks to maternal health, detail existing federal and state-level efforts, summarize proposed legislation addressing the issue, and offer policy recommendations for legislative consideration and future study. A team of maternal health researchers and clinicians reviewed and summarized recent research and current policy pertaining to postpartum Medicaid continuation coverage, proposing policy solutions to address this critical issue. Multiple legislative avenues currently exist to support and advance relevant policy to improve and sustain maternal health for those receiving Medicaid during pregnancy, including legislation aligned with the Biden-Harris Maternal Health Blueprint, state-focused options via the American Rescue Plan of 2021 (Public Law 117-2), and recently proposed acts (HR3407, S1542) which were last reintroduced in 2021. Recommendations include (i) reintroducing previously considered legislation requiring states to provide 12 months of continuous postpartum coverage, regardless of pregnancy outcome, and (ii) enacting a revised, permanent federal mandate equalizing Medicaid eligibility across states to ensure consistent access to postpartum healthcare offerings nationwide.",Translational behavioral medicine,2024,Journal Article,Jan T Mooney; Alicia A Dahl; Margaret M Quinlan; Jodie Lisenbee; Farida N Yada; Lindsay E Shade; Joanna Buscemi; Jenna Duffecy,10.1093/tbm/ibae007,Humans; Medicaid; United States; Female; Postpartum Period; Pregnancy; Child Health; Maternal Health; Health Policy,https://pubmed.ncbi.nlm.nih.gov/38417096/,,,,,doi:10 1093 tbm ibae007
