source_database,openalex_id,title,abstract,doi,year,journal,authors,url,cited_by_count,concepts,type
OpenAlex,https://openalex.org/W4315754639,"Cancer statistics, 2023","Each year, the American Cancer Society estimates the numbers of new cancer cases and deaths in the United States and compiles the most recent data on population-based cancer occurrence and outcomes using incidence data collected by central cancer registries and mortality data collected by the National Center for Health Statistics. In 2023, 1,958,310 new cancer cases and 609,820 cancer deaths are projected to occur in the United States. Cancer incidence increased for prostate cancer by 3% annually from 2014 through 2019 after two decades of decline, translating to an additional 99,000 new cases; otherwise, however, incidence trends were more favorable in men compared to women. For example, lung cancer in women decreased at one half the pace of men (1.1% vs. 2.6% annually) from 2015 through 2019, and breast and uterine corpus cancers continued to increase, as did liver cancer and melanoma, both of which stabilized in men aged 50 years and older and declined in younger men. However, a 65% drop in cervical cancer incidence during 2012 through 2019 among women in their early 20s, the first cohort to receive the human papillomavirus vaccine, foreshadows steep reductions in the burden of human papillomavirus-associated cancers, the majority of which occur in women. Despite the pandemic, and in contrast with other leading causes of death, the cancer death rate continued to decline from 2019 to 2020 (by 1.5%), contributing to a 33% overall reduction since 1991 and an estimated 3.8 million deaths averted. This progress increasingly reflects advances in treatment, which are particularly evident in the rapid declines in mortality (approximately 2% annually during 2016 through 2020) for leukemia, melanoma, and kidney cancer, despite stable/increasing incidence, and accelerated declines for lung cancer. In summary, although cancer mortality rates continue to decline, future progress may be attenuated by rising incidence for breast, prostate, and uterine corpus cancers, which also happen to have the largest racial disparities in mortality.",https://doi.org/10.3322/caac.21763,2023,CA A Cancer Journal for Clinicians,Rebecca L. Siegel; Kimberly D. Miller; Nikita Sandeep Wagle; Ahmedin Jemal,https://openalex.org/W4315754639,16626,Medicine; Cancer; Cervical cancer; Demography; Incidence (geometry); Population; Prostate cancer; Lung cancer; Cohort; Breast cancer; Oncology; Internal medicine; Environmental health; Optics; Sociology; Physics,article
OpenAlex,https://openalex.org/W2345462766,"Premium subsidies, the mandate, and Medicaid expansion: Coverage effects of the Affordable Care Act",,https://doi.org/10.1016/j.jhealeco.2017.02.004,2017,Journal of Health Economics,Molly Frean; Jonathan Gruber; Benjamin D. Sommers,https://openalex.org/W2345462766,442,Medicaid; Subsidy; Mandate; Health insurance; Patient Protection and Affordable Care Act; Business; American Community Survey; Public economics; Demographic economics; Actuarial science; Health care; Economics; Environmental health; Economic growth; Medicine; Population; Political science; Law; Census; Market economy,article
OpenAlex,https://openalex.org/W2943874325,"<i>Vital Signs:</i> Pregnancy-Related Deaths, United States, 2011–2015, and Strategies for Prevention, 13 States, 2013–2017","BACKGROUND: Approximately 700 women die from pregnancy-related complications in the United States every year. METHODS: Data from CDC's national Pregnancy Mortality Surveillance System (PMSS) for 2011-2015 were analyzed. Pregnancy-related mortality ratios (pregnancy-related deaths per 100,000 live births; PRMRs) were calculated overall and by sociodemographic characteristics. The distribution of pregnancy-related deaths by timing relative to the end of pregnancy and leading causes of death were calculated. Detailed data on pregnancy-related deaths during 2013-2017 from 13 state maternal mortality review committees (MMRCs) were analyzed for preventability, factors that contributed to pregnancy-related deaths, and MMRC-identified prevention strategies to address contributing factors. RESULTS: For 2011-2015, the national PRMR was 17.2 per 100,000 live births. Non-Hispanic black (black) women and American Indian/Alaska Native women had the highest PRMRs (42.8 and 32.5, respectively), 3.3 and 2.5 times as high, respectively, as the PRMR for non-Hispanic white (white) women (13.0). Timing of death was known for 87.7% (2,990) of pregnancy-related deaths. Among these deaths, 31.3% occurred during pregnancy, 16.9% on the day of delivery, 18.6% 1-6 days postpartum, 21.4% 7-42 days postpartum, and 11.7% 43-365 days postpartum. Leading causes of death included cardiovascular conditions, infection, and hemorrhage, and varied by timing. Approximately sixty percent of pregnancy-related deaths from state MMRCs were determined to be preventable and did not differ significantly by race/ethnicity or timing of death. MMRC data indicated that multiple factors contributed to pregnancy-related deaths. Contributing factors and prevention strategies can be categorized at the community, health facility, patient, provider, and system levels and include improving access to, and coordination and delivery of, quality care. CONCLUSIONS: Pregnancy-related deaths occurred during pregnancy, around the time of delivery, and up to 1 year postpartum; leading causes varied by timing of death. Approximately three in five pregnancy-related deaths were preventable. IMPLICATIONS FOR PUBLIC HEALTH PRACTICE: Strategies to address contributing factors to pregnancy-related deaths can be enacted at the community, health facility, patient, provider, and system levels.",https://doi.org/10.15585/mmwr.mm6818e1,2019,MMWR Morbidity and Mortality Weekly Report,Emily E. Petersen; Nicole L. Davis; David A. Goodman; Shanna Cox; Nikki Mayes; Emily Johnston; Carla Syverson; Kristi Seed; Carrie K. Shapiro‐Mendoza; William M. Callaghan; Wanda D. Barfield,https://openalex.org/W2943874325,794,Medicine; Vital signs; Pregnancy; Environmental health; Medical emergency; Surgery; Genetics; Biology,article
OpenAlex,https://openalex.org/W2997680007,Effects Of Medicaid Expansion On Postpartum Coverage And Outpatient Utilization,"Timely postpartum care is associated with lower maternal morbidity and mortality, yet fewer than half of Medicaid beneficiaries attend a postpartum visit. Medicaid enrollees are at higher risk of postpartum disruptions in insurance because pregnancy-related Medicaid eligibility ends sixty days after delivery. We used Medicaid claims data for 2013-15 from Colorado, which expanded Medicaid under the Affordable Care Act, and Utah, which did not. We found that after expansion, new mothers in Utah experienced higher rates of Medicaid coverage loss and accessed fewer Medicaid-financed outpatient visits during the six months postpartum, relative to their counterparts in Colorado. The effects of Medicaid expansion on postpartum Medicaid enrollment and outpatient utilization were largest among women who experienced significant maternal morbidity at delivery. These findings provide evidence that expansion may promote the stability of postpartum coverage and increase the use of postpartum outpatient care in the Medicaid program.",https://doi.org/10.1377/hlthaff.2019.00547,2020,Health Affairs,Sarah H. Gordon; Benjamin D. Sommers; Ira B. Wilson; Amal N. Trivedi,https://openalex.org/W2997680007,92,Medicaid; Business; Family medicine; Medicine; Health care; Economics; Economic growth,article
OpenAlex,https://openalex.org/W2135528524,Less-Tight versus Tight Control of Hypertension in Pregnancy,"BACKGROUND: The effects of less-tight versus tight control of hypertension on pregnancy complications are unclear. METHODS: We performed an open, international, multicenter trial involving women at 14 weeks 0 days to 33 weeks 6 days of gestation who had nonproteinuric preexisting or gestational hypertension, office diastolic blood pressure of 90 to 105 mm Hg (or 85 to 105 mm Hg if the woman was taking antihypertensive medications), and a live fetus. Women were randomly assigned to less-tight control (target diastolic blood pressure, 100 mm Hg) or tight control (target diastolic blood pressure, 85 mm Hg). The composite primary outcome was pregnancy loss or high-level neonatal care for more than 48 hours during the first 28 postnatal days. The secondary outcome was serious maternal complications occurring up to 6 weeks post partum or until hospital discharge, whichever was later. RESULTS: Included in the analysis were 987 women; 74.6% had preexisting hypertension. The primary-outcome rates were similar among 493 women assigned to less-tight control and 488 women assigned to tight control (31.4% and 30.7%, respectively; adjusted odds ratio, 1.02; 95% confidence interval [CI], 0.77 to 1.35), as were the rates of serious maternal complications (3.7% and 2.0%, respectively; adjusted odds ratio, 1.74; 95% CI, 0.79 to 3.84), despite a mean diastolic blood pressure that was higher in the less-tight-control group by 4.6 mm Hg (95% CI, 3.7 to 5.4). Severe hypertension (≥160/110 mm Hg) developed in 40.6% of the women in the less-tight-control group and 27.5% of the women in the tight-control group (P<0.001). CONCLUSIONS: We found no significant between-group differences in the risk of pregnancy loss, high-level neonatal care, or overall maternal complications, although less-tight control was associated with a significantly higher frequency of severe maternal hypertension. (Funded by the Canadian Institutes of Health Research; CHIPS Current Controlled Trials number, ISRCTN71416914; ClinicalTrials.gov number, NCT01192412.).",https://doi.org/10.1056/nejmoa1404595,2015,New England Journal of Medicine,Laura A. Magee; Peter von Dadelszen; Évelyne Rey; Susan Ross; Elizabeth Asztalos; Kellie E. Murphy; Jennifer Menzies; Johanna Sanchez; Joel Singer; Amiram Gafni; Andrée Gruslin; Michael Helewa; Eileen K. Hutton; Shoo K. Lee; Terry Lee; Alexander G. Logan; Wessel Ganzevoort; Ross Welch; Jim Thornton; Jean‐Marie Moutquin,https://openalex.org/W2135528524,655,Medicine; Odds ratio; Blood pressure; Pregnancy; Confidence interval; Gestational hypertension; Gestation; Gestational age; Diastole; Obstetrics; Internal medicine; Biology; Genetics,article
OpenAlex,https://openalex.org/W4295902037,Disparities in Pediatric Mental and Behavioral Health Conditions,"Mental and behavioral health conditions are common among children and adolescents in the United States. The purpose of this state-of the-art review article is to describe inequities in mental and behavioral health care access and outcomes for children and adolescents, characterize mechanisms behind the inequities, and discuss strategies to decrease them. Understanding the mechanisms underlying these inequities is essential to inform strategies to mitigate these health disparities. Half of United States children with a treatable mental health disorder do not receive treatment from a mental health professional. Children and adolescents in racial, ethnic, sexual, sex, and other minority groups experience inequities in access to care and disparities in outcomes for mental and behavioral health conditions. Suicide rates are nearly twice as high in Black compared to White boys 5 to 11 years old and have been increasing disproportionately among adolescent Black girls 12 to 17 years old. Children identifying as a sexual minority have >3 times increased odds of attempting suicide compared to heterosexual peers. Adverse experiences of children living as part of a minority group, including racism and discrimination, have immediate and lasting effects on mental health. Poverty and an uneven geographic distribution of resources also contribute to inequities in access and disparities in outcomes for mental and behavioral health conditions. Strategies to address inequities in mental and behavioral health among United States children include investing in a diverse workforce of mental health professionals, improving access to school-based services, ensuring equitable access to telehealth, and conducting quality improvement with rigorous attention to equity.",https://doi.org/10.1542/peds.2022-058227,2022,PEDIATRICS,Jennifer A. Hoffmann; Margarita Alegrı́a; Kiara Álvarez; Amara Anosike; Priya Shah; Kevin M. Simon; Lois K. Lee,https://openalex.org/W4295902037,161,Mental health; Medicine; Health equity; Ethnic group; Poverty; Workforce; Psychiatry; Public health; Gerontology; Nursing; Sociology; Economics; Anthropology; Economic growth,review
OpenAlex,https://openalex.org/W4205706002,"The ACA Medicaid Expansion And Perinatal Insurance, Health Care Use, And Health Outcomes: A Systematic Review","The Affordable Care Act (ACA) Medicaid expansion increased Medicaid eligibility for low-income adults regardless of their pregnancy or parental status. Variation in states' adoption of this expansion created a natural experiment to study the effects of expanding public insurance on insurance coverage, health care use, and health outcomes during preconception, pregnancy, and postpartum. We conducted a systematic review of relevant literature on this topic, analyzing twenty-four studies published between January 2014 and April 2021. We found that the ACA Medicaid expansion increased preconception and postpartum Medicaid coverage with corresponding declines in uninsurance, private insurance coverage, and insurance churn. There was limited evidence that Medicaid expansion increased perinatal health care use or improved infant birth outcomes overall, although some studies reported reduced racial and ethnic disparities in rates of prenatal and postpartum visit attendance, maternal mortality, low birthweight, and preterm births. Stronger data collection on preconception and postpartum outcomes with sufficient sample sizes to stratify by race and ethnicity is needed to assess the full impact of the ACA and emerging Medicaid policy changes, such as the postpartum Medicaid extension.",https://doi.org/10.1377/hlthaff.2021.01150,2022,Health Affairs,Meghan Bellerose; Lauren Collin; Jamie R. Daw,https://openalex.org/W4205706002,80,Medicaid; Medicine; Attendance; Ethnic group; Prenatal care; Health care; Family medicine; Health insurance; Pregnancy; Environmental health; Demography; Population; Sociology; Economics; Biology; Anthropology; Genetics; Economic growth,review
OpenAlex,https://openalex.org/W3007170247,Adoption of Medicaid Expansion Is Associated with Lower Maternal Mortality,,https://doi.org/10.1016/j.whi.2020.01.005,2020,Women s Health Issues,Erica L. Eliason,https://openalex.org/W3007170247,130,Medicaid; Medicine; Demography; Childbirth; Maternal death; Mortality rate; Obstetrics; Pregnancy; Population; Health care; Environmental health; Internal medicine; Sociology; Economic growth; Economics; Biology; Genetics,article
OpenAlex,https://openalex.org/W4319298523,Listen to the Whispers before They Become Screams: Addressing Black Maternal Morbidity and Mortality in the United States,"Black women in the United States (U.S.) disproportionately experience adverse pregnancy outcomes, including maternal mortality, compared to women of other racial and ethnic groups. Historical legacies of institutionalized racism and bias in medicine compound this problem. The disproportionate impact of COVID-19 on communities of color may further worsen existing racial disparities in maternal morbidity and mortality. This paper discusses structural and social determinants of racial disparities with a focus on the Black maternal mortality crisis in the United States. We explore how structural racism contributes to a greater risk of adverse obstetric outcomes among Black women in the U.S. We also propose public health, healthcare systems, and community-engaged approaches to decrease racial disparities in maternal morbidity and mortality.",https://doi.org/10.3390/healthcare11030438,2023,Healthcare,Anuli Njoku; Marian A. Evans; Lillian Nimo-Sefah; Jonell Bailey,https://openalex.org/W4319298523,155,Racism; Ethnic group; Medicine; Public health; Pregnancy; Health equity; Black women; Women of color; Environmental health; Demography; Political science; Race (biology); Gender studies; Nursing; Sociology; Biology; Law; Genetics,article
OpenAlex,https://openalex.org/W3045459192,Using the Ecological Systems Theory to Understand Black/White Disparities in Maternal Morbidity and Mortality in the United States,,https://doi.org/10.1007/s40615-020-00825-4,2020,Journal of Racial and Ethnic Health Disparities,Samia Noursi; Bani Saluja; Leah Richey,https://openalex.org/W3045459192,75,Prenatal care; Medicaid; Psychological intervention; Health equity; Medicine; Environmental health; Health care; Gerontology; Public health; Nursing; Political science; Population; Law,review
